cntry,pspwght,gincdif,Y_support_redist,hincfel,T_subj_poor,hinctnta,agea,eduyrs,gndr,female,emplrel,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
BE,0.97227556,2.0,1.0,2.0,0.0,,16.0,11.0,2,1,,3.0,4.0,6.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0
BE,0.888635,3.0,0.0,1.0,0.0,,24.0,18.0,2,1,1.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,6.0,2.0,4.0,6.0,6.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0
BE,0.72281104,3.0,0.0,2.0,0.0,,58.0,18.0,1,0,1.0,5.0,3.0,6.0,5.0,4.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0
BE,1.0055653,8.0,,2.0,0.0,,35.0,12.0,1,0,1.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0
BE,0.63870543,2.0,1.0,1.0,0.0,,61.0,19.0,1,0,1.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,6.0,4.0,5.0,5.0,4.0,4.0
BE,0.7061659,3.0,0.0,1.0,0.0,,46.0,17.0,2,1,1.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0
BE,1.2390379,2.0,1.0,3.0,1.0,5.0,22.0,15.0,1,0,1.0,6.0,3.0,5.0,5.0,3.0,6.0,3.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,6.0,6.0,3.0,5.0
BE,2.1333346,2.0,1.0,3.0,1.0,5.0,83.0,16.0,1,0,1.0,6.0,,5.0,4.0,5.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0
BE,1.0439215,4.0,0.0,3.0,1.0,,29.0,,1,0,1.0,5.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,-1.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,5.0,6.0
BE,0.9759465,1.0,1.0,1.0,0.0,9.0,64.0,15.0,1,0,1.0,5.0,2.0,5.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,5.0,4.0,5.0,6.0,3.0,3.0
